,workerid,proliferate.condition,accuracy,internal_node_id,question_order,response,rt,stimulus,time_elapsed,trial_index,trial_type,error,local,casual,educated,friendly,dependable,traditional,condition,clip,likert_young,likert_proper,likert_culture,likert_identity
5,87,All,,0.0-4.0-1.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 2, 'educated': 3, 'friendly': 3, 'dependable': 2, 'traditional': 3}",54986.0,audio/NL/NL_07_N.mp3,497316,5,survey-likert,,3.0,2.0,3.0,3.0,2.0,3.0,proper,NL_07,3.0,4.0,4.0,4.0
7,87,All,,0.0-4.0-3.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 2, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 2}",32032.0,audio/NGN/NGN_10_N.mp3,530897,7,survey-likert,,1.0,2.0,3.0,2.0,3.0,2.0,lazy,NGN_10,3.0,4.0,4.0,4.0
11,87,All,,0.0-4.0-7.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 1, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 4}",30019.0,audio/NGN/NGN_02_NG.mp3,573554,11,survey-likert,,1.0,1.0,3.0,3.0,3.0,4.0,proper,NGN_02,3.0,4.0,4.0,4.0
13,87,All,,0.0-4.0-9.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 2, 'educated': 2, 'friendly': 1, 'dependable': 2, 'traditional': 1}",18965.0,audio/NL/NL_04_L.mp3,593701,13,survey-likert,,1.0,2.0,2.0,1.0,2.0,1.0,lazy,NL_04,3.0,4.0,4.0,4.0
15,87,All,,0.0-4.0-11.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 3, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 4}",13130.0,audio/NL/NL_08_N.mp3,608615,15,survey-likert,,2.0,3.0,3.0,2.0,3.0,4.0,proper,NL_08,3.0,4.0,4.0,4.0
19,87,All,,0.0-4.0-15.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 2, 'educated': 3, 'friendly': 2, 'dependable': 2, 'traditional': 4}",20505.0,audio/NL/NL_10_N.mp3,645390,19,survey-likert,,3.0,2.0,3.0,2.0,2.0,4.0,proper,NL_10,3.0,4.0,4.0,4.0
21,87,All,,0.0-4.0-17.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 1, 'educated': 4, 'friendly': 2, 'dependable': 3, 'traditional': 1}",26181.0,audio/NGN/NGN_09_NG.mp3,673147,21,survey-likert,,3.0,1.0,4.0,2.0,3.0,1.0,proper,NGN_09,3.0,4.0,4.0,4.0
25,87,All,,0.0-4.0-21.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 2, 'educated': 2, 'friendly': 3, 'dependable': 2, 'traditional': 2}",30779.0,audio/NGG/NGG_06_NG.mp3,716394,25,survey-likert,,1.0,2.0,2.0,3.0,2.0,2.0,proper,NGG_06,3.0,4.0,4.0,4.0
27,87,All,,0.0-4.0-23.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 4, 'educated': 2, 'friendly': 3, 'dependable': 2, 'traditional': 4}",15790.0,audio/NL/NL_03_N.mp3,733165,27,survey-likert,,1.0,4.0,2.0,3.0,2.0,4.0,proper,NL_03,3.0,4.0,4.0,4.0
29,87,All,,0.0-4.0-25.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 0, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 3}",15293.0,audio/NGG/NGG_09_NG.mp3,751249,29,survey-likert,,2.0,0.0,3.0,2.0,3.0,3.0,proper,NGG_09,3.0,4.0,4.0,4.0
31,87,All,,0.0-4.0-27.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 3, 'educated': 1, 'friendly': 2, 'dependable': 2, 'traditional': 4}",16517.0,audio/NGG/NGG_03_NG.mp3,769372,31,survey-likert,,1.0,3.0,1.0,2.0,2.0,4.0,proper,NGG_03,3.0,4.0,4.0,4.0
33,87,All,,0.0-4.0-29.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 0, 'educated': 4, 'friendly': 2, 'dependable': 2, 'traditional': 0}",20200.0,audio/NGN/NGN_01_N.mp3,791495,33,survey-likert,,2.0,0.0,4.0,2.0,2.0,0.0,lazy,NGN_01,3.0,4.0,4.0,4.0
35,87,All,,0.0-4.0-31.0,"[0, 1, 2, 3, 4, 5]","{'local': 0, 'casual': 4, 'educated': 1, 'friendly': 1, 'dependable': 1, 'traditional': 1}",23989.0,audio/NGN/NGN_08_N.mp3,817364,35,survey-likert,,0.0,4.0,1.0,1.0,1.0,1.0,lazy,NGN_08,3.0,4.0,4.0,4.0
37,87,All,,0.0-4.0-33.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 1, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 1}",16820.0,audio/NL/NL_09_L.mp3,835495,37,survey-likert,,1.0,1.0,3.0,2.0,3.0,1.0,lazy,NL_09,3.0,4.0,4.0,4.0
39,87,All,,0.0-4.0-35.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 4, 'educated': 2, 'friendly': 3, 'dependable': 3, 'traditional': 4}",23015.0,audio/NGN/NGN_03_N.mp3,859940,39,survey-likert,,3.0,4.0,2.0,3.0,3.0,4.0,lazy,NGN_03,3.0,4.0,4.0,4.0
41,87,All,,0.0-4.0-37.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 0, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 0}",15720.0,audio/NL/NL_06_N.mp3,876655,41,survey-likert,,2.0,0.0,3.0,2.0,3.0,0.0,proper,NL_06,3.0,4.0,4.0,4.0
43,87,All,,0.0-4.0-39.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 4, 'educated': 1, 'friendly': 2, 'dependable': 2, 'traditional': 5}",30816.0,audio/NGG/NGG_10_NG.mp3,909892,43,survey-likert,,1.0,4.0,1.0,2.0,2.0,5.0,proper,NGG_10,3.0,4.0,4.0,4.0
45,87,All,,0.0-4.0-41.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 5, 'educated': 3, 'friendly': 4, 'dependable': 3, 'traditional': 5}",18987.0,audio/NL/NL_01_N.mp3,930760,45,survey-likert,,3.0,5.0,3.0,4.0,3.0,5.0,proper,NL_01,3.0,4.0,4.0,4.0
47,87,All,,0.0-4.0-43.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 4, 'educated': 2, 'friendly': 2, 'dependable': 2, 'traditional': 4}",14377.0,audio/NGG/NGG_01_G.mp3,946563,47,survey-likert,,1.0,4.0,2.0,2.0,2.0,4.0,lazy,NGG_01,3.0,4.0,4.0,4.0
49,87,All,,0.0-4.0-45.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 5, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 5}",15528.0,audio/NL/NL_02_L.mp3,963094,49,survey-likert,,2.0,5.0,3.0,3.0,3.0,5.0,lazy,NL_02,3.0,4.0,4.0,4.0
51,87,All,,0.0-4.0-47.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 4, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 4}",15139.0,audio/NGG/NGG_02_G.mp3,979425,51,survey-likert,,1.0,4.0,3.0,3.0,3.0,4.0,lazy,NGG_02,3.0,4.0,4.0,4.0
53,87,All,,0.0-4.0-49.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 4, 'educated': 2, 'friendly': 2, 'dependable': 3, 'traditional': 4}",19229.0,audio/NGN/NGN_04_NG.mp3,1000476,53,survey-likert,,1.0,4.0,2.0,2.0,3.0,4.0,proper,NGN_04,3.0,4.0,4.0,4.0
55,87,All,,0.0-4.0-51.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 1, 'educated': 4, 'friendly': 2, 'dependable': 3, 'traditional': 2}",15940.0,audio/NGN/NGN_05_NG.mp3,1018344,55,survey-likert,,2.0,1.0,4.0,2.0,3.0,2.0,proper,NGN_05,3.0,4.0,4.0,4.0
57,87,All,,0.0-4.0-53.0,"[0, 1, 2, 3, 4, 5]","{'local': 1, 'casual': 4, 'educated': 2, 'friendly': 3, 'dependable': 3, 'traditional': 5}",14159.0,audio/NGG/NGG_04_NG.mp3,1033954,57,survey-likert,,1.0,4.0,2.0,3.0,3.0,5.0,proper,NGG_04,3.0,4.0,4.0,4.0
59,87,All,,0.0-4.0-55.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 3, 'educated': 3, 'friendly': 2, 'dependable': 3, 'traditional': 4}",11805.0,audio/NGG/NGG_05_G.mp3,1047021,59,survey-likert,,2.0,3.0,3.0,2.0,3.0,4.0,lazy,NGG_05,3.0,4.0,4.0,4.0
61,87,All,,0.0-4.0-57.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 2, 'educated': 4, 'friendly': 3, 'dependable': 3, 'traditional': 4}",20805.0,audio/NGN/NGN_07_NG.mp3,1069641,61,survey-likert,,3.0,2.0,4.0,3.0,3.0,4.0,proper,NGN_07,3.0,4.0,4.0,4.0
63,87,All,,0.0-4.0-59.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 3, 'educated': 3, 'friendly': 4, 'dependable': 3, 'traditional': 5}",20925.0,audio/NGG/NGG_08_G.mp3,1091940,63,survey-likert,,3.0,3.0,3.0,4.0,3.0,5.0,lazy,NGG_08,3.0,4.0,4.0,4.0
75,61,All,,0.0-4.0-1.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 2, 'educated': 5, 'friendly': 4, 'dependable': 4, 'traditional': 2}",42668.0,audio/NGN/NGN_10_NG.mp3,94613,5,survey-likert,,5.0,2.0,5.0,4.0,4.0,2.0,proper,NGN_10,5.0,0.0,5.0,5.0
79,61,All,,0.0-4.0-5.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 5, 'educated': 5, 'friendly': 5, 'dependable': 4, 'traditional': 0}",14400.0,audio/NL/NL_03_L.mp3,130593,9,survey-likert,,5.0,5.0,5.0,5.0,4.0,0.0,lazy,NL_03,5.0,0.0,5.0,5.0
81,61,All,,0.0-4.0-7.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 0, 'educated': 5, 'friendly': 1, 'dependable': 1, 'traditional': 3}",32179.0,audio/NL/NL_06_L.mp3,163824,11,survey-likert,,3.0,0.0,5.0,1.0,1.0,3.0,lazy,NL_06,5.0,0.0,5.0,5.0
83,61,All,,0.0-4.0-9.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 1, 'educated': 5, 'friendly': 5, 'dependable': 3, 'traditional': 0}",24178.0,audio/NGG/NGG_03_NG.mp3,189522,13,survey-likert,,5.0,1.0,5.0,5.0,3.0,0.0,proper,NGG_03,5.0,0.0,5.0,5.0
85,61,All,,0.0-4.0-11.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 2, 'educated': 5, 'friendly': 4, 'dependable': 4, 'traditional': 1}",27783.0,audio/NL/NL_08_L.mp3,218856,15,survey-likert,,5.0,2.0,5.0,4.0,4.0,1.0,lazy,NL_08,5.0,0.0,5.0,5.0
87,61,All,,0.0-4.0-13.0,"[0, 1, 2, 3, 4, 5]","{'local': 0, 'casual': 1, 'educated': 5, 'friendly': 4, 'dependable': 4, 'traditional': 2}",27689.0,audio/NGN/NGN_07_N.mp3,248315,17,survey-likert,,0.0,1.0,5.0,4.0,4.0,2.0,lazy,NGN_07,5.0,0.0,5.0,5.0
89,61,All,,0.0-4.0-15.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 4, 'educated': 5, 'friendly': 4, 'dependable': 4, 'traditional': 1}",25880.0,audio/NGN/NGN_04_NG.mp3,275945,19,survey-likert,,5.0,4.0,5.0,4.0,4.0,1.0,proper,NGN_04,5.0,0.0,5.0,5.0
91,61,All,,0.0-4.0-17.0,"[0, 1, 2, 3, 4, 5]","{'local': 4, 'casual': 3, 'educated': 5, 'friendly': 5, 'dependable': 3, 'traditional': 0}",22668.0,audio/NL/NL_02_N.mp3,299694,21,survey-likert,,4.0,3.0,5.0,5.0,3.0,0.0,proper,NL_02,5.0,0.0,5.0,5.0
93,61,All,,0.0-4.0-19.0,"[0, 1, 2, 3, 4, 5]","{'local': 4, 'casual': 4, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 1}",30469.0,audio/NGG/NGG_02_G.mp3,331304,23,survey-likert,,4.0,4.0,5.0,5.0,5.0,1.0,lazy,NGG_02,5.0,0.0,5.0,5.0
95,61,All,,0.0-4.0-21.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 1, 'educated': 5, 'friendly': 4, 'dependable': 4, 'traditional': 1}",30867.0,audio/NGN/NGN_05_NG.mp3,364063,25,survey-likert,,3.0,1.0,5.0,4.0,4.0,1.0,proper,NGN_05,5.0,0.0,5.0,5.0
97,61,All,,0.0-4.0-23.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 0, 'educated': 5, 'friendly': 4, 'dependable': 5, 'traditional': 5}",20436.0,audio/NL/NL_10_N.mp3,386076,27,survey-likert,,5.0,0.0,5.0,4.0,5.0,5.0,proper,NL_10,5.0,0.0,5.0,5.0
99,61,All,,0.0-4.0-25.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 0, 'educated': 5, 'friendly': 3, 'dependable': 3, 'traditional': 5}",17607.0,audio/NGN/NGN_08_NG.mp3,405386,29,survey-likert,,3.0,0.0,5.0,3.0,3.0,5.0,proper,NGN_08,5.0,0.0,5.0,5.0
101,61,All,,0.0-4.0-27.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 0, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 5}",20158.0,audio/NL/NL_09_N.mp3,426797,31,survey-likert,,3.0,0.0,5.0,5.0,5.0,5.0,proper,NL_09,5.0,0.0,5.0,5.0
105,61,All,,0.0-4.0-31.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 1, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 2}",15890.0,audio/NGG/NGG_06_NG.mp3,459760,35,survey-likert,,5.0,1.0,5.0,5.0,5.0,2.0,proper,NGG_06,5.0,0.0,5.0,5.0
107,61,All,,0.0-4.0-33.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 0, 'educated': 5, 'friendly': 3, 'dependable': 5, 'traditional': 5}",14607.0,audio/NGG/NGG_09_NG.mp3,477086,37,survey-likert,,5.0,0.0,5.0,3.0,5.0,5.0,proper,NGG_09,5.0,0.0,5.0,5.0
109,61,All,,0.0-4.0-35.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 5, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 0}",11088.0,audio/NGG/NGG_05_G.mp3,489378,39,survey-likert,,5.0,5.0,5.0,5.0,5.0,0.0,lazy,NGG_05,5.0,0.0,5.0,5.0
111,61,All,,0.0-4.0-37.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 2, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 2}",16781.0,audio/NGG/NGG_08_NG.mp3,507601,41,survey-likert,,5.0,2.0,5.0,5.0,5.0,2.0,proper,NGG_08,5.0,0.0,5.0,5.0
113,61,All,,0.0-4.0-39.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 3, 'educated': 4, 'friendly': 4, 'dependable': 3, 'traditional': 0}",25084.0,audio/NL/NL_07_L.mp3,533874,43,survey-likert,,5.0,3.0,4.0,4.0,3.0,0.0,lazy,NL_07,5.0,0.0,5.0,5.0
115,61,All,,0.0-4.0-41.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 2, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 3}",16110.0,audio/NL/NL_04_L.mp3,551139,45,survey-likert,,3.0,2.0,5.0,5.0,5.0,3.0,lazy,NL_04,5.0,0.0,5.0,5.0
117,61,All,,0.0-4.0-43.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 5, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 0}",12996.0,audio/NGG/NGG_10_G.mp3,565945,47,survey-likert,,5.0,5.0,5.0,5.0,5.0,0.0,lazy,NGG_10,5.0,0.0,5.0,5.0
119,61,All,,0.0-4.0-45.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 0, 'educated': 5, 'friendly': 0, 'dependable': 0, 'traditional': 0}",19722.0,audio/NGG/NGG_04_NG.mp3,587071,49,survey-likert,,2.0,0.0,5.0,0.0,0.0,0.0,proper,NGG_04,5.0,0.0,5.0,5.0
121,61,All,,0.0-4.0-47.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 5, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 0}",16107.0,audio/NL/NL_01_N.mp3,605017,51,survey-likert,,5.0,5.0,5.0,5.0,5.0,0.0,proper,NL_01,5.0,0.0,5.0,5.0
123,61,All,,0.0-4.0-49.0,"[0, 1, 2, 3, 4, 5]","{'local': 4, 'casual': 0, 'educated': 5, 'friendly': 2, 'dependable': 5, 'traditional': 5}",18608.0,audio/NGN/NGN_01_NG.mp3,625738,53,survey-likert,,4.0,0.0,5.0,2.0,5.0,5.0,proper,NGN_01,5.0,0.0,5.0,5.0
125,61,All,,0.0-4.0-51.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 5, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 2}",15664.0,audio/NGG/NGG_01_G.mp3,642742,55,survey-likert,,5.0,5.0,5.0,5.0,5.0,2.0,lazy,NGG_01,5.0,0.0,5.0,5.0
127,61,All,,0.0-4.0-53.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 5, 'educated': 5, 'friendly': 5, 'dependable': 5, 'traditional': 0}",11664.0,audio/NGN/NGN_02_N.mp3,655484,57,survey-likert,,5.0,5.0,5.0,5.0,5.0,0.0,lazy,NGN_02,5.0,0.0,5.0,5.0
131,61,All,,0.0-4.0-57.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 0, 'educated': 5, 'friendly': 3, 'dependable': 5, 'traditional': 3}",12600.0,audio/NGN/NGN_09_N.mp3,685225,61,survey-likert,,5.0,0.0,5.0,3.0,5.0,3.0,lazy,NGN_09,5.0,0.0,5.0,5.0
133,61,All,,0.0-4.0-59.0,"[0, 1, 2, 3, 4, 5]","{'local': 5, 'casual': 3, 'educated': 5, 'friendly': 4, 'dependable': 5, 'traditional': 0}",16083.0,audio/NGN/NGN_03_NG.mp3,702672,63,survey-likert,,5.0,3.0,5.0,4.0,5.0,0.0,proper,NGN_03,5.0,0.0,5.0,5.0
145,74,All,,0.0-4.0-1.0,"[0, 1, 2, 3, 4, 5]","{'local': 4, 'casual': 4, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 3}",15091.0,audio/NGG/NGG_03_NG.mp3,41115,5,survey-likert,,4.0,4.0,3.0,3.0,3.0,3.0,proper,NGG_03,4.0,4.0,4.0,4.0
147,74,All,,0.0-4.0-3.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 3, 'educated': 3, 'friendly': 4, 'dependable': 3, 'traditional': 3}",9340.0,audio/NGN/NGN_03_NG.mp3,51874,7,survey-likert,,3.0,3.0,3.0,4.0,3.0,3.0,proper,NGN_03,4.0,4.0,4.0,4.0
149,74,All,,0.0-4.0-5.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 3, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 4}",9814.0,audio/NL/NL_03_N.mp3,62675,9,survey-likert,,3.0,3.0,3.0,3.0,3.0,4.0,proper,NL_03,4.0,4.0,4.0,4.0
151,74,All,,0.0-4.0-7.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 4, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 3}",9286.0,audio/NGN/NGN_05_NG.mp3,73880,11,survey-likert,,2.0,4.0,3.0,3.0,3.0,3.0,proper,NGN_05,4.0,4.0,4.0,4.0
153,74,All,,0.0-4.0-9.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 3, 'educated': 3, 'friendly': 3, 'dependable': 2, 'traditional': 3}",9232.0,audio/NGN/NGN_04_NG.mp3,84936,13,survey-likert,,2.0,3.0,3.0,3.0,2.0,3.0,proper,NGN_04,4.0,4.0,4.0,4.0
155,74,All,,0.0-4.0-11.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 5, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 3}",18734.0,audio/NL/NL_01_L.mp3,105276,15,survey-likert,,3.0,5.0,3.0,3.0,3.0,3.0,lazy,NL_01,4.0,4.0,4.0,4.0
157,74,All,,0.0-4.0-13.0,"[0, 1, 2, 3, 4, 5]","{'local': 4, 'casual': 3, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 4}",9641.0,audio/NL/NL_08_N.mp3,116716,17,survey-likert,,4.0,3.0,3.0,3.0,3.0,4.0,proper,NL_08,4.0,4.0,4.0,4.0
159,74,All,,0.0-4.0-15.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 2, 'educated': 3, 'friendly': 3, 'dependable': 2, 'traditional': 3}",8065.0,audio/NL/NL_09_L.mp3,126435,19,survey-likert,,3.0,2.0,3.0,3.0,2.0,3.0,lazy,NL_09,4.0,4.0,4.0,4.0
161,74,All,,0.0-4.0-17.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 4, 'educated': 3, 'friendly': 4, 'dependable': 3, 'traditional': 2}",9760.0,audio/NGG/NGG_08_G.mp3,137561,21,survey-likert,,3.0,4.0,3.0,4.0,3.0,2.0,lazy,NGG_08,4.0,4.0,4.0,4.0
163,74,All,,0.0-4.0-19.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 3, 'educated': 4, 'friendly': 3, 'dependable': 3, 'traditional': 4}",8425.0,audio/NGN/NGN_09_N.mp3,147671,23,survey-likert,,3.0,3.0,4.0,3.0,3.0,4.0,lazy,NGN_09,4.0,4.0,4.0,4.0
165,74,All,,0.0-4.0-21.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 3, 'educated': 4, 'friendly': 3, 'dependable': 3, 'traditional': 4}",9653.0,audio/NGN/NGN_10_NG.mp3,158499,25,survey-likert,,3.0,3.0,4.0,3.0,3.0,4.0,proper,NGN_10,4.0,4.0,4.0,4.0
167,74,All,,0.0-4.0-23.0,"[0, 1, 2, 3, 4, 5]","{'local': 4, 'casual': 4, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 3}",15169.0,audio/NL/NL_07_L.mp3,174906,27,survey-likert,,4.0,4.0,3.0,3.0,3.0,3.0,lazy,NL_07,4.0,4.0,4.0,4.0
169,74,All,,0.0-4.0-25.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 4, 'educated': 3, 'friendly': 4, 'dependable': 3, 'traditional': 3}",10156.0,audio/NGN/NGN_07_N.mp3,186902,29,survey-likert,,2.0,4.0,3.0,4.0,3.0,3.0,lazy,NGN_07,4.0,4.0,4.0,4.0
171,74,All,,0.0-4.0-27.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 4, 'educated': 3, 'friendly': 4, 'dependable': 3, 'traditional': 3}",8141.0,audio/NGN/NGN_02_N.mp3,196172,31,survey-likert,,3.0,4.0,3.0,4.0,3.0,3.0,lazy,NGN_02,4.0,4.0,4.0,4.0
175,74,All,,0.0-4.0-31.0,"[0, 1, 2, 3, 4, 5]","{'local': 2, 'casual': 4, 'educated': 2, 'friendly': 4, 'dependable': 3, 'traditional': 2}",8952.0,audio/NGG/NGG_04_NG.mp3,218296,35,survey-likert,,2.0,4.0,2.0,4.0,3.0,2.0,proper,NGG_04,4.0,4.0,4.0,4.0
179,74,All,,0.0-4.0-35.0,"[0, 1, 2, 3, 4, 5]","{'local': 4, 'casual': 2, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 3}",9580.0,audio/NGG/NGG_05_NG.mp3,239581,39,survey-likert,,4.0,2.0,3.0,3.0,3.0,3.0,proper,NGG_05,4.0,4.0,4.0,4.0
181,74,All,,0.0-4.0-37.0,"[0, 1, 2, 3, 4, 5]","{'local': 4, 'casual': 4, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 2}",10415.0,audio/NL/NL_10_L.mp3,251386,41,survey-likert,,4.0,4.0,3.0,3.0,3.0,2.0,lazy,NL_10,4.0,4.0,4.0,4.0
185,74,All,,0.0-4.0-41.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 3, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 4}",10312.0,audio/NGN/NGN_08_NG.mp3,275561,45,survey-likert,,3.0,3.0,3.0,3.0,3.0,4.0,proper,NGN_08,4.0,4.0,4.0,4.0
187,74,All,,0.0-4.0-43.0,"[0, 1, 2, 3, 4, 5]","{'local': 4, 'casual': 3, 'educated': 3, 'friendly': 4, 'dependable': 3, 'traditional': 4}",11810.0,audio/NL/NL_06_N.mp3,288409,47,survey-likert,,4.0,3.0,3.0,4.0,3.0,4.0,proper,NL_06,4.0,4.0,4.0,4.0
189,74,All,,0.0-4.0-45.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 3, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 4}",9436.0,audio/NGG/NGG_06_G.mp3,299509,49,survey-likert,,3.0,3.0,3.0,3.0,3.0,4.0,lazy,NGG_06,4.0,4.0,4.0,4.0
191,74,All,,0.0-4.0-47.0,"[0, 1, 2, 3, 4, 5]","{'local': 4, 'casual': 4, 'educated': 3, 'friendly': 4, 'dependable': 3, 'traditional': 2}",9912.0,audio/NGG/NGG_10_NG.mp3,311734,51,survey-likert,,4.0,4.0,3.0,4.0,3.0,2.0,proper,NGG_10,4.0,4.0,4.0,4.0
193,74,All,,0.0-4.0-49.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 4, 'educated': 3, 'friendly': 4, 'dependable': 3, 'traditional': 3}",7666.0,audio/NL/NL_02_N.mp3,320560,53,survey-likert,,3.0,4.0,3.0,4.0,3.0,3.0,proper,NL_02,4.0,4.0,4.0,4.0
195,74,All,,0.0-4.0-51.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 4, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 3}",8888.0,audio/NGG/NGG_02_NG.mp3,330786,55,survey-likert,,3.0,4.0,3.0,3.0,3.0,3.0,proper,NGG_02,4.0,4.0,4.0,4.0
197,74,All,,0.0-4.0-53.0,"[0, 1, 2, 3, 4, 5]","{'local': 3, 'casual': 2, 'educated': 3, 'friendly': 3, 'dependable': 3, 'traditional': 4}",9419.0,audio/NGN/NGN_01_N.mp3,342116,57,survey-likert,,3.0,2.0,3.0,3.0,3.0,4.0,lazy,NGN_01,4.0,4.0,4.0,4.0
199,74,All,,0.0-4.0-55.0,"[0, 1, 2, 3, 4, 5]","{'local': 4, 'casual': 4, 'educated': 3, 'friendly': 3, 'dependable': 2, 'traditional': 2}",9230.0,audio/NGG/NGG_01_NG.mp3,352775,59,survey-likert,,4.0,4.0,3.0,3.0,2.0,2.0,proper,NGG_01,4.0,4.0,4.0,4.0
